id, out-degree, degree centrality, betweeneess, eigenvector, pagerank, activated_source,{activated_list}
1,15,27,104.15727803831037,0.00047244746307850596,0.0003425391304944324,0,{1}
2,43,48,1690.4364947083918,0.00004260671275606799,0.0003419873812760787,0,{2}
3,0,0,0.,0.,0.00018766598240499435,0,{3}
4,0,0,0.,0.,0.00018766598240499435,0,{4}
5,3,4,1031.5557527217761,2.406904029926076e-6,0.00025211484428404736,0,{5}
6,1,1,0.,0.,0.00018766598240499435,0,{6}
7,0,1,0.,0.,0.0001971910407325864,0,{7}
8,19,38,2715.3113214095083,0.0010290493364091017,0.00041750838285243945,1,{8, 722}
9,8,8,0.,0.,0.00018766598240499435,0,{9}
10,14,15,1.6072537525942159,0.00007029904863278114,0.00020038300409195466,0,{10}
11,1,1,0.,0.,0.00018766598240499435,0,{11}
12,3,4,1.3374633029863596,4.421289537288145e-9,0.00019771886437690324,0,{12}
13,15,63,1950.1758740743187,0.004793219209353511,0.0018850747970535309,0,{13}
14,62,89,11110.188668267581,0.004948819882931616,0.0014190407844331843,0,{14}
15,54,70,1415.8737424061899,0.0005140943223989773,0.0003478006791752794,0,{15}
16,25,54,2431.328147760026,0.003277802459282453,0.0009782080617625477,1,{16, 353}
17,1,2,2.568588154834606,4.421289537284211e-9,0.00019771886437690324,0,{17}
18,29,48,2288.1806499099416,0.0022802912795267887,0.0007483188643205699,0,{18}
19,3,4,18.687904322048286,0.00022841497647805545,0.00020565167793455937,0,{19}
20,13,13,0.,0.,0.00018766598240499435,0,{20}
21,38,48,3250.3903382485023,0.0014914248359956502,0.0004598412478300887,0,{21}
22,19,26,1365.0339258592417,0.0007792980272649519,0.00036293937424869687,0,{22}
23,29,97,8173.287999269495,0.005546850607263714,0.0033548600676928547,3,{23, 222, 340, 549}
24,24,56,866.877282596463,0.002580114642708682,0.0010345601427707313,1,{24, 355}
25,0,0,0.,0.,0.00018766598240499435,0,{25}
26,1,1,0.,0.,0.00018766598240499435,0,{26}
27,13,35,4113.238109942032,0.0025657435596125443,0.002959445925071551,2,{27, 65, 757}
28,10,12,16.802853621276714,5.548610201729669e-6,0.00020972372572407728,0,{28}
29,39,63,5637.005033195452,0.0014390607053163217,0.0007968909574949068,2,{29, 310, 450}
30,0,1,0.,0.,0.00019771886437690324,0,{30}
31,36,77,5103.471906880973,0.006385184419141174,0.0017103807875477831,1,{31, 541}
